ROLLNO,FIRSTNAME,LASTNAME,DEPARTMENT,PROGRAMME,SEX
21074113,Carl,Tichenor,CSE,IDD,M
21024032,Robert,Newell,CIV,IDD,M
21055038,Pamela,Green,PHY,BTech,M
21034040,Sidney,Gatlin,MECH,IDD,M
21025007,Alexander,Manganaro,CIV,BTech,M
21084007,Virginia,Lara,ECE,IDD,F
21025024,Debbie,Pitts,CIV,BTech,M
21085019,Kirk,Jackson,ECE,BTech,F
21084107,Francisco,Davis,ECE,IDD,M
21065092,David,Shroyer,APM,BTech,M
21014031,Paul,Wallis,APD,IDD,M
21055016,Thomas,Givens,PHY,BTech,M
21055049,Judy,Whitworth,PHY,BTech,F
21065016,Merlin,Randolph,APM,BTech,F
21065038,Norma,Estrella,APM,BTech,F
21025025,Clare,Lasher,CIV,BTech,M
21045026,Linnie,Lemus,CER,BTech,M
21025027,Jason,Alonso,CIV,BTech,F
21015013,Nellie,Lechner,APD,BTech,M
21015005,Frederick,Bailey,APD,BTech,M
21085052,Rebecca,Holloway,ECE,BTech,M
21054007,Michael,Fay,PHY,IDD,M
21065048,Ray,Briggs,APM,BTech,M
21035007,Thomas,Daniel,MECH,BTech,F
21085020,George,Vetrano,ECE,BTech,M
21054045,Benito,Dammeyer,PHY,IDD,F
21064062,Jose,Agena,APM,IDD,M
21044007,Avery,Seward,CER,IDD,F
21095102,Elisa,Jackson,EEE,BTech,M
21095134,Soon,Knight,EEE,BTech,M
21045027,Michael,Jones,CER,BTech,F
21045031,Phillip,Kerney,CER,BTech,M
21065002,Robert,Hartshorn,APM,BTech,F
21045043,Wendell,Meehan,CER,BTech,M
21014022,Harrison,Miller,APD,IDD,F
21024025,Patricia,Gartner,CIV,IDD,M
21044051,Linda,Anderson,CER,IDD,M
21024009,Bonnie,Bottone,CIV,IDD,F
21045038,Lara,Taylor,CER,BTech,F
21084081,James,Rivera,ECE,IDD,F
21034001,Randy,Mclaughlin,MECH,IDD,F
21084096,Raymond,Walton,ECE,IDD,M
21075025,Kiley,Pahulu,CSE,BTech,M
21084046,Carl,Simpson,ECE,IDD,M
21035039,Terry,House,MECH,BTech,M
21095063,David,Woodward,EEE,BTech,M
21044004,Gilbert,Bracken,CER,IDD,M
21015012,Joseph,Rivera,APD,BTech,M
21075081,Philomena,Henry,CSE,BTech,F
21035017,Michelle,Bradley,MECH,BTech,M
21075057,David,Harrod,CSE,BTech,M
21064065,Manuela,Carson,APM,IDD,M
21014028,Melanie,Swanson,APD,IDD,F
21095097,James,Williams,EEE,BTech,M
21045040,Stephen,Bell,CER,BTech,M
21095145,Chris,Eisinger,EEE,BTech,M
21074118,Myrtle,Timberlake,CSE,IDD,M
21015014,Tracey,Smith,APD,BTech,M
21035003,Brenda,Baumler,MECH,BTech,M
21074026,Rose,Smith,CSE,IDD,M
21055059,Martha,Moreland,PHY,BTech,M
21065095,Diana,Dodge,APM,BTech,M
21014033,Carlos,Wackerly,APD,IDD,M
21074038,Dawn,Wiegand,CSE,IDD,F
21024016,Margaret,Neeley,CIV,IDD,F
21034027,Eric,Smith,MECH,IDD,F
21015023,Willie,Maltba,APD,BTech,M
21095087,Chester,Bryant,EEE,BTech,F
21054080,Lilian,Hinds,PHY,IDD,F
21045055,Kathi,Shipley,CER,BTech,M
21094030,Diane,Lynn,EEE,IDD,M
21095143,Elizabeth,Cunningham,EEE,BTech,M
21085077,Harry,Harrison,ECE,BTech,M
21094042,Corrie,Braswell,EEE,IDD,M
21075060,Jeffrey,Friel,CSE,BTech,M
21064055,Eddie,Hester,APM,IDD,M
21015030,James,Yong,APD,BTech,F
21015001,Andrea,Matlock,APD,BTech,F
21035002,Lillian,Kjar,MECH,BTech,M
21074019,Sean,Lajara,CSE,IDD,M
21024023,Angelica,Rosa,CIV,IDD,M
21065064,Caroline,Gennaro,APM,BTech,F
21054057,Joseph,Jerry,PHY,IDD,F
21014016,James,Scelzo,APD,IDD,M
21094126,Carol,Willis,EEE,IDD,M
21025002,John,Taylor,CIV,BTech,M
21015003,Caroline,Villarreal,APD,BTech,M
21054067,Michele,Wilson,PHY,IDD,F
21075069,Stacy,Bullard,CSE,BTech,M
21034013,John,Montague,MECH,IDD,M
21095093,Robert,Pierson,EEE,BTech,M
21085068,Diana,Johnson,ECE,BTech,M
21045041,Susan,Hollingsworth,CER,BTech,M
21034021,Steve,Davis,MECH,IDD,F
21064016,Christine,Coburn,APM,IDD,M
21055013,John,Carrol,PHY,BTech,M
21044053,Travis,Kim,CER,IDD,M
21085002,Lester,Lam,ECE,BTech,M
21035020,Sara,Chu,MECH,BTech,F
21054003,Lisa,Graham,PHY,IDD,M
21055043,Lane,Delk,PHY,BTech,M
21044033,Helen,Aguilar,CER,IDD,M
21055042,Dorothy,Powell,PHY,BTech,F
21054076,Margaret,Greenhill,PHY,IDD,M
21094011,Jennifer,Cabrales,EEE,IDD,F
21074014,John,Hiles,CSE,IDD,M
21024003,Ruth,Summer,CIV,IDD,M
21085065,Jerome,Fowler,ECE,BTech,F
21075099,Mary,Cameron,CSE,BTech,M
21064084,Ruth,Page,APM,IDD,M
21074001,Rosalinda,Sullivan,CSE,IDD,M
21065042,Humberto,Walden,APM,BTech,F
21085060,Cora,Mulac,ECE,BTech,F
21085118,Larry,Curry,ECE,BTech,M
21064031,Jeremiah,Cowan,APM,IDD,F
21014040,Crystal,Winburn,APD,IDD,F
21075079,Charles,Lack,CSE,BTech,F
21094159,Jared,Valentine,EEE,IDD,M
21065084,Jeana,Eaton,APM,BTech,F
21054013,Mathew,Willie,PHY,IDD,M
21025028,Annie,Collins,CIV,BTech,M
21014030,Charles,Schoenfeld,APD,IDD,M
21015004,Roger,Reynolds,APD,BTech,M
21035001,Ruth,Fernandez,MECH,BTech,M
21015010,Theresa,Washington,APD,BTech,M
21064093,Harold,Harris,APM,IDD,M
21044030,Eugene,Bess,CER,IDD,F
21014003,Anna,Lavender,APD,IDD,M
21064018,Andrea,Chevrier,APM,IDD,M
21085042,Jeniffer,Ng,ECE,BTech,F
21024028,Winford,Cano,CIV,IDD,M
21095008,Daniel,Wright,EEE,BTech,M
21034034,Marcus,Handy,MECH,IDD,F
21055005,Damaris,Bavaro,PHY,BTech,F
21065026,Marie,Kelly,APM,BTech,M
21085117,Dorothy,Judkins,ECE,BTech,M
21025033,Beth,Amaker,CIV,BTech,M
21074035,Dennis,Taft,CSE,IDD,F
21065067,Carl,Brown,APM,BTech,M
21035004,Richard,Kennedy,MECH,BTech,M
21044046,Ronald,Redding,CER,IDD,M
21024029,Wayne,Hardy,CIV,IDD,M
21094057,Mary,Styers,EEE,IDD,M
21085116,Sandy,Carter,ECE,BTech,F
21094096,Ralph,Cowans,EEE,IDD,F
21094026,Craig,Gardner,EEE,IDD,M
21044017,Frank,Naranjo,CER,IDD,M
21055011,Iola,Torres,PHY,BTech,F
21094137,Frances,Grier,EEE,IDD,M
21074012,Shane,Berryhill,CSE,IDD,M
21064100,Gerald,Solian,APM,IDD,M
21044020,Wendy,Robbins,CER,IDD,M
21025011,Matthew,Clancy,CIV,BTech,M
21074043,Jerry,Purser,CSE,IDD,F
21024006,William,Whitaker,CIV,IDD,M
21045052,Barbara,Malone,CER,BTech,M
21015007,Herbert,Butcher,APD,BTech,M
21065073,Phillis,Searcy,APM,BTech,M
21095066,Doris,Wright,EEE,BTech,M
21025032,Edward,Gore,CIV,BTech,M
21054009,Frank,Meeks,PHY,IDD,M
21044055,Beverly,Gilson,CER,IDD,M
21024011,Dirk,Bowling,CIV,IDD,M
21034036,Joe,Lopez,MECH,IDD,M
21064014,Floyd,Knowles,APM,IDD,F
21094155,Adeline,Melendez,EEE,IDD,F
21035038,Stephanie,Broussard,MECH,BTech,F
21054071,Jennie,Frye,PHY,IDD,F
21094067,Tiffany,Fry,EEE,IDD,M
21055020,Ronald,Morales,PHY,BTech,F
21094103,James,Warren,EEE,IDD,M
21034035,Carol,Merchant,MECH,IDD,M
21075037,Karen,Neal,CSE,BTech,M
21085130,David,Sarver,ECE,BTech,M
21024017,Allen,Manning,CIV,IDD,F
21044012,Jason,Estes,CER,IDD,F
21015006,Elias,Baker,APD,BTech,M
21065036,Kyle,Schank,APM,BTech,M
21084030,Andre,Tucker,ECE,IDD,M
21045039,Katie,Johns,CER,BTech,F
21035033,Edward,Crosier,MECH,BTech,M
21084068,Tyler,Laster,ECE,IDD,F
21095006,James,Mitchell,EEE,BTech,M
21055010,Rex,Deacy,PHY,BTech,F
21074029,Ernest,Ogle,CSE,IDD,M
21095040,Tina,Bartell,EEE,BTech,F
21044059,Catherine,Schrier,CER,IDD,F
21085046,Joseph,Pardee,ECE,BTech,M
21014021,Rene,Taylor,APD,IDD,F
21024038,Thomas,Pierson,CIV,IDD,M
21095071,Kenneth,Hereford,EEE,BTech,M
21024001,Valerie,Cronin,CIV,IDD,F
21075075,Joan,Salada,CSE,BTech,M
21045035,Ramon,Sly,CER,BTech,F
21075113,Lucille,Huff,CSE,BTech,F
21095016,Russell,Mcdonald,EEE,BTech,M
21074104,Marilyn,Taube,CSE,IDD,M
21074009,Tammy,Davidson,CSE,IDD,F
21074112,Brandon,Mcdaniel,CSE,IDD,M
21075086,Billie,Odebralski,CSE,BTech,M
21015037,Chad,Okeefe,APD,BTech,F
21094013,Vincent,Archibald,EEE,IDD,M
21085038,Ross,Jones,ECE,BTech,M
21015022,Katherine,Fox,APD,BTech,F
21064045,Rachel,Roccio,APM,IDD,M
21024031,Cheryl,Pecatoste,CIV,IDD,F
21074017,Catherine,Stewart,CSE,IDD,M
21054072,Eula,Vargas,PHY,IDD,F
21075031,Evelyn,Wiley,CSE,BTech,F
21084095,Andrea,Craig,ECE,IDD,F
21055036,Christina,Veitch,PHY,BTech,M
21025005,Violet,Colarusso,CIV,BTech,M
21015009,Howard,Davis,APD,BTech,F
21024008,Carl,Pare,CIV,IDD,M
21074088,David,Sears,CSE,IDD,M
21055067,Anthony,Hager,PHY,BTech,M
21025037,Michael,Sammartino,CIV,BTech,M
21055057,Brittney,Demaire,PHY,BTech,M
21074072,Charisse,Harris,CSE,IDD,F
21024005,John,Jones,CIV,IDD,M
21094098,David,Carpenter,EEE,IDD,F
21095032,Pamela,Hughes,EEE,BTech,M
21065035,Marietta,Lewis,APM,BTech,M
21084026,Marjorie,Collazo,ECE,IDD,M
21084083,Breanne,Abrams,ECE,IDD,F
21094087,Vanessa,Acevedo,EEE,IDD,M
21084047,Floyd,Tuma,ECE,IDD,M
21075028,Kenneth,Forbes,CSE,BTech,M
21024004,Brian,Daugherty,CIV,IDD,M
21084015,Gregory,Owen,ECE,IDD,M
21054051,Stephen,Diaz,PHY,IDD,F
21084112,Betty,Cox,ECE,IDD,M
21064007,Jose,Paddock,APM,IDD,M
21025010,Jeremiah,Marchman,CIV,BTech,F
21015035,Karen,Kramer,APD,BTech,M
21044010,Earl,Moore,CER,IDD,M
21064097,Shannon,Rainey,APM,IDD,M
21084101,Diana,Sheridan,ECE,IDD,M
21044015,Gilda,Stubbs,CER,IDD,M
21074037,Karen,Ledezma,CSE,IDD,M
21084001,Helen,Curry,ECE,IDD,F
21035034,James,Langley,MECH,BTech,F
21025036,Clarice,Wood,CIV,BTech,M
21045022,Frank,Nadeau,CER,BTech,F
21014013,Nora,Temple,APD,IDD,M
21014025,Angela,Thurman,APD,IDD,M
21014010,Cynthia,Cockrell,APD,IDD,M
21025035,Nola,Holt,CIV,BTech,F
21014011,Elizabeth,Well,APD,IDD,M
21094085,Elizabeth,Fry,EEE,IDD,M
21045045,Albert,Worden,CER,BTech,M
21014023,Mary,Lupkes,APD,IDD,M
21075118,Mike,Haynes,CSE,BTech,M
21085108,Roger,Rankin,ECE,BTech,F
21065046,Angel,Pomeroy,APM,BTech,F
21065083,Martin,Christiansen,APM,BTech,M
21054062,Mary,German,PHY,IDD,F
21064047,Daniel,Gregg,APM,IDD,F
21024013,Robert,Bowers,CIV,IDD,M
21085129,Matthew,Carey,ECE,BTech,M
21034003,Harry,Eckerson,MECH,IDD,F
21094120,Linda,Perdue,EEE,IDD,F
21044035,Frank,Goodloe,CER,IDD,F
21094022,Shawn,Bryan,EEE,IDD,M
21025020,Theresa,Brooks,CIV,BTech,M
21064002,William,Wms,APM,IDD,M
21074054,Herminia,Files,CSE,IDD,M
21054044,Alma,Borkowski,PHY,IDD,M
21044019,Anna,Marsha,CER,IDD,F
21015032,Bonnie,Klopfenstein,APD,BTech,M
21074085,Ellen,Brown,CSE,IDD,M
21064019,Eunice,Zmolek,APM,IDD,F
21085033,Katherine,Harrison,ECE,BTech,M
21014002,Jason,Challender,APD,IDD,M
21035029,Gary,Anderson,MECH,BTech,F
21084075,Frank,Kleman,ECE,IDD,M
21044049,Robert,Taylor,CER,IDD,F
21044057,Jeffery,Chapple,CER,IDD,F
21014008,Tony,Curran,APD,IDD,F
21085022,George,Stallard,ECE,BTech,F
21054079,Rita,Rhodes,PHY,IDD,M
21065041,Nancy,Conrad,APM,BTech,M
21094056,Anne,Molnar,EEE,IDD,F
21064077,Travis,Yoo,APM,IDD,M
21095020,Lauren,Fitting,EEE,BTech,M
21075102,Ouida,Wallace,CSE,BTech,M
21044038,Natasha,Sorenson,CER,IDD,M
21024039,Angel,Pouliot,CIV,IDD,M
21094003,Lelah,Augusto,EEE,IDD,M
21055052,Russell,Medel,PHY,BTech,F
21095075,Brandon,Clark,EEE,BTech,M
21054040,Jason,Franken,PHY,IDD,M
21085008,Esteban,Royce,ECE,BTech,M
21074083,Calvin,Hallman,CSE,IDD,M
21025003,Kylie,Franco,CIV,BTech,F
21034011,Deshawn,Hanson,MECH,IDD,M
21034016,Margaret,Haycook,MECH,IDD,M
21054006,Jerome,Brroks,PHY,IDD,F
21095144,Aubrey,Studeny,EEE,BTech,F
21095010,Phyllis,Burgess,EEE,BTech,M
21055004,Peter,Evans,PHY,BTech,F
21094114,Meta,Gomez,EEE,IDD,M
21054026,Willis,Garman,PHY,IDD,M
21035013,Melissa,Steiger,MECH,BTech,M
21014032,David,Conerly,APD,IDD,M
21045047,Tania,Peacock,CER,BTech,M
21015024,Jeremy,Dalrymple,APD,BTech,M
21014015,Marjorie,Cruzan,APD,IDD,F
21054053,Gladys,Bedell,PHY,IDD,F
21095049,Glynis,Smock,EEE,BTech,M
21085051,Rebekah,Patton,ECE,BTech,F
21084097,Wilma,Martinez,ECE,IDD,M
21095015,John,Shingler,EEE,BTech,M
21034031,Kelvin,Hansen,MECH,IDD,M
21035015,Thomas,Brase,MECH,BTech,M
21015021,Veronica,Truocchio,APD,BTech,M
21014005,Alan,Hester,APD,IDD,F
21084009,Scott,Mashburn,ECE,IDD,M
21024037,Eddie,Galvan,CIV,IDD,F
21084140,Yvette,Smith,ECE,IDD,M
21024026,Harold,Dulle,CIV,IDD,F
21065052,Sarah,Zamora,APM,BTech,M
21035040,Jacob,Hudson,MECH,BTech,M
21045023,Julie,Hilburn,CER,BTech,M
21044022,Stephen,Taylor,CER,IDD,F
21024024,Anthony,Corley,CIV,IDD,M
21024040,Barbara,Draughn,CIV,IDD,M
21065045,Jason,Tate,APM,BTech,M
21085072,Paul,Crate,ECE,BTech,M
21074034,Charles,Rudio,CSE,IDD,M
21055018,Jessica,Smith,PHY,BTech,F
21084053,Mary,Bowman,ECE,IDD,M
21064009,Michael,Perez,APM,IDD,F
21075040,Shane,Connor,CSE,BTech,M
21065098,Jerome,Fleming,APM,BTech,M
21034014,Martha,Bateman,MECH,IDD,M
21025029,Melody,Bennett,CIV,BTech,M
21064051,Ruby,Roberts,APM,IDD,F
21045059,Lucille,Post,CER,BTech,M
21045036,James,Speis,CER,BTech,M
21095122,Laura,Child,EEE,BTech,M
21045001,Cheryl,Scott,CER,BTech,F
21035022,Sarah,Montgomery,MECH,BTech,M
21064005,Murray,Hendryx,APM,IDD,M
21085109,Katie,Goad,ECE,BTech,M
21045018,Wilbur,Infante,CER,BTech,M
21055063,Steven,Foss,PHY,BTech,M
21094156,Penny,Reddy,EEE,IDD,M
21024014,Kerry,Perez,CIV,IDD,M
21015034,Marjorie,Guereca,APD,BTech,F
21075047,Carey,Woodland,CSE,BTech,F
21084102,Jefferey,Atkinson,ECE,IDD,M
21014006,Alisha,Farmer,APD,IDD,M
21064035,Tom,Mckenzie,APM,IDD,M
21064050,Judy,Dean,APM,IDD,M
21085023,George,Rogers,ECE,BTech,M
21085039,Aaron,Jones,ECE,BTech,F
21084042,June,Mulligan,ECE,IDD,F
21075084,Chad,Zieba,CSE,BTech,M
21075004,Lois,Reynolds,CSE,BTech,M
21054070,Karen,Davis,PHY,IDD,F
21064073,Theresa,Marshall,APM,IDD,M
21085071,James,Chavis,ECE,BTech,M
21044039,Joseph,Broussard,CER,IDD,M
21074021,Analisa,White,CSE,IDD,F
21034025,Tiffany,Cain,MECH,IDD,M
21084067,Tory,Heuck,ECE,IDD,M
